IPL_EDITION,DATE,TEAM1,TEAM2,WINNER,RESULT,RESULT_MARGIN
2020,2020-10-31,"Royal Challengers Bangalore","Sunrisers Hyderabad","Sunrisers Hyderabad",wickets,5
2020,2020-10-01,"Mumbai Indians","Kings XI Punjab","Mumbai Indians",runs,48
2020,2020-09-30,"Kolkata Knight Riders","Rajasthan Royals","Kolkata Knight Riders",runs,37
2020,2020-11-02,"Royal Challengers Bangalore","Delhi Capitals","Delhi Capitals",wickets,6
2020,2020-11-01,"Kings XI Punjab","Chennai Super Kings","Chennai Super Kings",wickets,9
2020,2020-10-11,"Sunrisers Hyderabad","Rajasthan Royals","Rajasthan Royals",wickets,5
2020,2020-09-23,"Mumbai Indians","Kolkata Knight Riders","Mumbai Indians",runs,49
2020,2020-10-17,"Chennai Super Kings","Delhi Capitals","Delhi Capitals",wickets,5
2020,2020-09-24,"Kings XI Punjab","Royal Challengers Bangalore","Kings XI Punjab",runs,97
2020,2020-10-06,"Mumbai Indians","Rajasthan Royals","Mumbai Indians",runs,57
2020,2020-10-18,"Kolkata Knight Riders","Sunrisers Hyderabad","Kolkata Knight Riders",tie,0
2020,2020-10-04,"Kings XI Punjab","Chennai Super Kings","Chennai Super Kings",wickets,10
2020,2020-10-03,"Rajasthan Royals","Royal Challengers Bangalore","Royal Challengers Bangalore",wickets,8
2020,2020-10-03,"Delhi Capitals","Kolkata Knight Riders","Delhi Capitals",runs,18
2020,2020-10-02,"Sunrisers Hyderabad","Chennai Super Kings","Sunrisers Hyderabad",runs,7
2020,2020-10-18,"Mumbai Indians","Kings XI Punjab","Kings XI Punjab",tie,0
2020,2020-10-22,"Rajasthan Royals","Sunrisers Hyderabad","Sunrisers Hyderabad",wickets,8
2020,2020-10-05,"Delhi Capitals","Royal Challengers Bangalore","Delhi Capitals",runs,59
2020,2020-10-26,"Kolkata Knight Riders","Kings XI Punjab","Kings XI Punjab",wickets,8
2020,2020-10-23,"Chennai Super Kings","Mumbai Indians","Mumbai Indians",wickets,10
2020,2020-10-17,"Rajasthan Royals","Royal Challengers Bangalore","Royal Challengers Bangalore",wickets,7
2020,2020-10-10,"Kolkata Knight Riders","Kings XI Punjab","Kolkata Knight Riders",runs,2
2020,2020-10-27,"Sunrisers Hyderabad","Delhi Capitals","Sunrisers Hyderabad",runs,88
2020,2020-10-10,"Royal Challengers Bangalore","Chennai Super Kings","Royal Challengers Bangalore",runs,37
2020,2020-10-16,"Kolkata Knight Riders","Mumbai Indians","Mumbai Indians",wickets,8
2020,2020-09-27,"Kings XI Punjab","Rajasthan Royals","Rajasthan Royals",wickets,4
2020,2020-10-13,"Chennai Super Kings","Sunrisers Hyderabad","Chennai Super Kings",runs,20
2020,2020-10-11,"Delhi Capitals","Mumbai Indians","Mumbai Indians",wickets,5
2020,2020-11-01,"Kolkata Knight Riders","Rajasthan Royals","Kolkata Knight Riders",runs,60
2020,2020-10-15,"Royal Challengers Bangalore","Kings XI Punjab","Kings XI Punjab",wickets,8
2020,2020-09-29,"Sunrisers Hyderabad","Delhi Capitals","Sunrisers Hyderabad",runs,15
2020,2020-10-19,"Chennai Super Kings","Rajasthan Royals","Rajasthan Royals",wickets,7
2020,2020-09-21,"Royal Challengers Bangalore","Sunrisers Hyderabad","Royal Challengers Bangalore",runs,10
2020,2020-10-31,"Delhi Capitals","Mumbai Indians","Mumbai Indians",wickets,9
2020,2020-10-29,"Kolkata Knight Riders","Chennai Super Kings","Chennai Super Kings",wickets,6
2020,2020-10-30,"Kings XI Punjab","Rajasthan Royals","Rajasthan Royals",wickets,7
2020,2020-10-04,"Mumbai Indians","Sunrisers Hyderabad","Mumbai Indians",runs,34
2020,2020-09-25,"Delhi Capitals","Chennai Super Kings","Delhi Capitals",runs,44
2020,2020-10-12,"Royal Challengers Bangalore","Kolkata Knight Riders","Royal Challengers Bangalore",runs,82
2020,2020-10-25,"Mumbai Indians","Rajasthan Royals","Rajasthan Royals",wickets,8
2020,2020-10-08,"Sunrisers Hyderabad","Kings XI Punjab","Sunrisers Hyderabad",runs,69
2020,2020-10-14,"Delhi Capitals","Rajasthan Royals","Delhi Capitals",runs,13
2020,2020-10-25,"Royal Challengers Bangalore","Chennai Super Kings","Chennai Super Kings",wickets,8
2020,2020-09-26,"Sunrisers Hyderabad","Kolkata Knight Riders","Kolkata Knight Riders",wickets,7
2020,2020-10-20,"Delhi Capitals","Kings XI Punjab","Kings XI Punjab",wickets,5
2020,2020-09-28,"Royal Challengers Bangalore","Mumbai Indians","Royal Challengers Bangalore",tie,0
2020,2020-11-05,"Mumbai Indians","Delhi Capitals","Mumbai Indians",runs,57
2020,2020-11-06,"Royal Challengers Bangalore","Sunrisers Hyderabad","Sunrisers Hyderabad",wickets,6
2020,2020-11-08,"Delhi Capitals","Sunrisers Hyderabad","Delhi Capitals",runs,17
2020,2020-11-10,"Delhi Capitals","Mumbai Indians","Mumbai Indians",wickets,5
