BOWLER_NAME,MATCH_PLAYED,WICKET_TAKEN,ECONOMY_RATE,BOWLING_AVG,TOTAL_RUNS_GIVEN,OVERS_BOWLED,BALLS_BOWLED,WIDES,NO_BALLS,FOURS,SIXES
"DS Kulkarni",91,91,7.99,27.09,2465,308,1850,80,7,269,77
"DT Christian",40,36,7.79,29.50,1062,136,818,32,3,88,34
"DW Steyn",95,105,6.77,24.46,2568,379,2276,93,7,283,54
"F du Plessis",1,0,16.00,NULL,16,1,6,0,0,0,2
"FH Edwards",6,6,6.40,26.67,160,25,150,9,1,20,2
"FY Fazal",2,1,10.00,20.00,20,2,12,0,0,1,1
"Gagandeep Singh",4,3,10.14,47.33,142,14,84,0,0,14,6
"GB Hogg",21,25,7.53,23.40,585,78,466,7,1,40,21
"GC Viljoen",6,8,9.41,28.63,229,24,146,8,0,25,6
"GD McGrath",14,14,6.67,26.14,366,55,329,4,1,41,10
"GH Vihari",6,1,6.70,48.00,48,7,43,1,0,5,1
"GJ Maxwell",50,20,8.45,39.30,786,93,558,12,0,48,41
"GR Napier",1,1,7.00,28.00,28,4,24,0,0,2,1
"GS Sandhu",2,1,10.75,86.00,86,8,48,0,0,8,2
"Gurkeerat Singh",6,5,7.10,19.40,97,14,82,4,0,6,3
"Harbhajan Singh",157,161,7.02,25.08,4038,575,3451,74,3,289,142
"Harmeet Singh",27,30,7.79,23.77,713,92,549,20,4,66,20
"Harmeet Singh (2)",1,1,8.16,34.00,34,4,25,1,0,3,2
"Harpreet Brar",3,0,9.71,NULL,89,9,55,1,0,8,4
"HF Gurney",8,7,8.49,34.14,239,28,169,6,1,23,7
"HH Pandya",60,45,8.80,29.78,1340,152,914,42,3,115,59
"HV Patel",46,50,8.57,27.60,1380,161,966,37,3,126,51
"I Malhotra",1,0,23.00,NULL,23,1,6,0,0,2,2
"I Sharma",90,73,7.97,36.73,2681,336,2018,72,21,303,75
"I Udana",10,8,9.43,35.75,286,30,182,8,0,26,11
"IC Pandey",24,19,7.79,32.05,609,78,469,5,2,77,17
"IK Pathan",101,99,7.70,27.38,2711,352,2113,69,1,293,82
"Imran Tahir",58,83,7.82,20.64,1713,219,1314,21,1,96,83
"Iqbal Abdulla",48,45,7.16,25.00,1125,157,943,23,0,88,37
"IS Sodhi",8,9,6.73,22.67,204,30,182,1,0,9,8
"J Botha",34,27,6.92,30.30,818,118,709,15,0,60,24
"J Suchith",14,12,8.60,33.08,397,46,277,7,0,31,16
"J Syed Mohammad",11,10,8.76,28.60,286,33,196,4,0,18,12
"J Theron",10,11,7.88,27.45,302,38,230,12,2,28,8
"J Yadav",14,6,6.49,48.33,290,45,268,2,2,19,9
"JA Morkel",87,96,8.00,25.09,2409,301,1807,71,13,264,56
"Jaskaran Singh",7,6,9.41,29.00,174,19,111,5,4,23,4
"JC Archer",35,47,7.05,21.45,1008,143,858,27,4,81,44
"JD Ryder",16,11,7.82,28.55,314,40,241,5,0,21,13
"JD Unadkat",79,88,8.71,27.81,2447,281,1685,40,1,203,108
"JDP Oram",14,13,8.90,27.85,362,41,244,6,1,34,14
"JDS Neesham",9,3,9.80,81.67,245,25,150,6,0,22,11
"JE Taylor",5,6,8.21,27.83,167,20,122,4,1,10,9
"JEC Franklin",15,9,8.71,25.00,225,26,155,2,2,21,6
"JH Kallis",89,74,7.83,31.73,2348,300,1799,48,9,236,58
"JJ Bumrah",92,119,7.38,22.31,2655,360,2159,45,22,232,79
"JJ van der Wath",3,3,10.58,44.67,134,13,76,2,2,17,6
"JL Pattinson",10,11,8.68,29.18,321,37,222,9,0,34,10
"JM Kemp",5,3,7.40,19.33,58,8,47,3,0,6,1
"JO Holder",18,23,8.20,24.00,552,67,404,17,3,53,16
"Joginder Sharma",15,13,9.29,32.38,421,45,272,9,7,38,17
"JP Behrendorff",5,5,8.62,33.60,168,20,117,3,0,19,8
"JP Duminy",49,23,7.25,36.83,847,117,701,23,0,53,33
"JP Faulkner",60,72,8.59,25.38,1827,213,1276,44,5,159,65
"JPR Scantlebury-Searles",3,2,11.87,44.50,89,8,45,3,0,4,7
"JR Hazlewood",3,1,7.08,72.00,72,10,61,1,0,10,0
"JR Hopes",20,14,9.14,40.14,562,62,369,9,0,44,28
"JW Hastings",3,3,6.49,22.00,66,10,61,2,1,11,0
"K Goel",6,0,8.42,NULL,94,11,67,1,0,9,2
"K Gowtham",24,14,8.35,41.14,576,69,414,6,0,52,22
"K Khejroliya",5,3,9.33,52.33,157,17,101,6,0,9,10
"K Rabada",35,66,8.11,17.21,1136,140,840,32,3,110,36
"K Santokie",2,3,10.71,30.33,91,9,51,3,0,6,6
"K Upadhyay",3,0,8.68,NULL,81,9,56,2,0,9,3
"KA Pollard",92,71,8.38,27.82,1975,236,1414,82,7,152,70
